id,difficulty,customer_text,prior_context,final_intent,final_should_escalate,final_escalate_reason
g_141188,easy,nasan na yung #reputation album ha 😒 <USER>,,content_availability_or_licensing,True,"The message is a casual fan comment, not a support issue requiring human intervention."
g_2898308,easy,@spotifycares what's the presale code for Billie Eilish tomorrow?,,how_to_or_usage_question,True,Presale codes are time-sensitive and require manual verification to prevent errors.
g_2834,easy,<USER> How?,,not_a_support_request,True,"The vague question lacks context, requiring a human to identify the specific issue."
g_1778460,easy,@spotifycares <USER> help,,not_a_support_request,True,"The message contains no specific issue details, making it impossible to route automatically."
g_171118,easy,@spotifycares can't play any music in album page on Windows 7 64-bit version 1.0.68.407.g6864aaaf. all other music plays fine. attached image to show what it looks like when i try to play a song from album page. if i play the exact same album in my files it works fine. <URL>,,playback_or_app_bug,False,Clear technical bug report with specific version details and no abusive language.
g_2910926,hard,<USER> where’s that new Cyanide and Silicone EP?,,content_availability_or_licensing,False,"The user is asking a straightforward question about the availability of a specific EP, which can be answered by an automated response without human intervention."
g_66022,hard,@spotifycares I hear you'll launch in Romania soon ? Did i hear right or no ?,,how_to_or_usage_question,False,Simple factual inquiry about launch timing requires no human intervention.
g_2933212,easy,"@spotifycares Im in Dubai right now, but my Apple ID is american,,, and yes i'm trying to create a spotify account ,","<USER> Hey there, help's here! Just to check, are you trying to create a Spotify account? Also, what country are you currently in? We'll see what we can suggest /RE",login_or_account_access,True,Regional account creation issues require human verification to resolve.
g_44310,easy,<USER> How????,,not_a_support_request,True,The message is too vague to identify the specific issue or intent.
g_2865505,easy,Dear .<USER> STOP DELETING MY DAILY MIXES!,,content_availability_or_licensing,True,Customer is shouting and expressing severe frustration about deleted playlists.
g_138289,hard,@spotifycares hey why is that you have your ad to upgrade to Spotify Premium translated into Vietnamese but don't accept Vietnamese cards for payment? <URL>,,billing_or_subscription_charge,True,Payment method availability issue requires human agent intervention.
g_132599,easy,"@spotifycares Meh, too much effort. I'll just deal with it. 😊","<USER> Hi there! Currently, predictive text isn't a feature when sharing from the app. We’d recommend suggesting it in our Community where you can get support from other fans: <URL> /MU",not_a_support_request,True,"Customer expressed frustration and intent to self-resolve, indicating potential churn risk."
g_455653,easy,"@spotifycares hello, I should have 3 months free but was charged.",,billing_or_subscription_charge,True,Billing discrepancy involving a promised free trial requires human review.
g_77685,hard,"@spotifycares Trying to log into Spotify app via Facebook app on iPhone 6s, but get Facebook message ""Login Error: There is an error logging you into this application. Please try again later.""",,login_or_account_access,True,Third-party login failure requires human troubleshooting beyond automated scripts.
g_1593811,hard,<USER> why only 3333 song limit? Real shame. Thought if was bad enough its so much trouble to transfer your own music not in Spotify's library. Now i cant even download it lol what am i paying $10/mo for then,,feature_request_or_product_feedback,True,Customer expresses frustration over download limits and questions subscription value.
g_569613,hard,"@spotifycares With a free account on Hong Kong Spotify, is it possible to use Google Home while in Hong Kong?",,how_to_or_usage_question,False,Simple factual query about free tier device compatibility requires no human intervention.
g_2736065,hard,@spotifycares I’ve done those steps Is there no way of retrieving my playlists?!?,<USER> Hi there! We’re sorry to hear that. Check out <URL> for what to do next /AK,account_data_or_privacy,True,Customer is frustrated after failed troubleshooting and demands specific data recovery.
g_2820157,hard,"In middle school, I would rush home to catch the last 30 minutes of Rebelde. It’s 2017 and <USER> doesn’t have #RBD’s discography yet... I need to jam in my car instead of loading Youtube videos",,content_availability_or_licensing,True,"User is requesting a specific artist's discography, which is a content availability issue."
g_500996,easy,"<USER> hallo mau nanya, apa ada persyaratan lain utk dapetincpromo ini? Aku terakhir stop subscription 27 Juni 2017 <URL>",,billing_or_subscription_charge,True,Customer asks about specific promo eligibility after a long subscription gap.
g_2520080,easy,<USER> there's just one album from legendary Karate <URL> WHY?,,content_availability_or_licensing,True,"User is asking a subjective question about catalog availability, not reporting a technical issue."
g_130898,hard,<USER> How much will it cost after the 3 month trial @$0.99CAD??,,billing_or_subscription_charge,False,The inquiry is a simple billing question that can be answered automatically.
g_453468,easy,"@spotifycares why cant i listen to that song? It says ""this song is not available in finland"" why???? <URL>",,content_availability_or_licensing,True,Regional licensing restrictions require human intervention to verify specific catalog availability.
g_633980,hard,<USER> I’m paying for a premium account but cannot log in how can I cancel payments,,billing_or_subscription_charge,True,"Customer is requesting a refund for a premium account, requiring human intervention."
g_2919417,easy,@spotifycares Nope thanks so much!,<USER> Hey there! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR,not_a_support_request,False,Customer declined further assistance and the message is not a support request; safe to auto-respond.
g_629903,easy,<USER> hi why is your support team constantly ignoring my emails?,,other,True,"Customer is complaining about ignored emails, indicating prior failed support attempts."
g_166676,easy,@spotifycares I can’t create acct with my email. Says email is taken. Then says I’ve logged in with Facebook cred. Deleted app from FB. Still says my email taken.,,login_or_account_access,True,Account creation is blocked by conflicting email and Facebook login states.
g_2950156,easy,"<USER> please let us react to the songs our friends listen to: thumbs up, laugh, etc.",,feature_request_or_product_feedback,True,"Request is a feature suggestion, not a technical issue requiring human support."
g_130395,hard,"<USER> admin, 4.990 itu bayarnya via apa ya kalau nggak punya credit card?",,billing_or_subscription_charge,True,"User asks about payment methods for a specific plan, requiring human verification."
g_456843,easy,@spotifycares when are you all going to update the Fresh Finds: Basement playlist. it's two days late :(,,content_availability_or_licensing,True,User is reporting a specific playlist update delay requiring manual investigation.
g_1778480,easy,HELP :---( <USER> @spotifycares <URL>,,not_a_support_request,True,The message contains an explicit distress signal and emotional distress indicators.
g_123472,easy,"Hey <USER>, can I block certain artists? I don't want to listen to artists who are continuously violent to women.",,feature_request_or_product_feedback,False,Request is a standard feature inquiry with no safety or escalation triggers.
g_580943,hard,<USER> how long does it take to get a response? I need help!,,other,True,"User expresses urgency and frustration, requiring immediate human intervention."
g_2882300,easy,"I'm paying for a Spotify family premium every month, but both my wife's and my account are suddenly listed as free, and we can't access premium features. My account name is sadist3n. I expect a quick resolution + free month, or I'm migrating to Apple.@spotifycares.",,billing_or_subscription_charge,True,Billing discrepancy with explicit threat to churn requires human intervention.
g_485507,easy,@spotifycares I can't log into my account and password reset tokens are broken. Help! Username: 99CENTSPECIAL,,login_or_account_access,True,Account access failure with broken password reset tokens requires human intervention.
g_44361,easy,<USER> How?,,not_a_support_request,True,"The vague question lacks context, requiring a human to identify the specific issue."
g_2910958,hard,"<USER> I challenge you to try to purchase an online gift card for a full year of Spotify Premium and really test out your customer experience, it shouldn't be this hard to give you my money! #notelephonesupport",,billing_or_subscription_charge,True,"Customer explicitly refuses phone support, requiring human intervention to resolve the purchase issue."
g_2705876,hard,@spotifycares I thought this was taken care of but it is not. Please reply.,<USER> We've just sent you a bit more info over DM. We'll carry on helping out there /AR,other,True,Customer reports a previously resolved issue is still active and demands a reply.
g_671400,easy,@spotifycares <USER> Hey you guys keep saying that every time people complain about pre-existing customers not getting any deals. Yet y’all still haven’t come out with any deals to thank your long term costumers,"<USER> Hey Scott! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /AY",feature_request_or_product_feedback,True,Customer is expressing frustration about a recurring issue regarding loyalty deals.
g_660571,easy,<USER> help me,,not_a_support_request,True,"The message is too vague to resolve automatically, requiring human context to identify the issue."
g_2831200,easy,<USER> btw idk why this quality looks like ass.,,playback_or_app_bug,True,"User is complaining about audio quality, which requires human investigation."
g_510521,easy,@spotifycares please answer my DM,,not_a_support_request,True,User explicitly requested human intervention by asking for a DM response.
g_462676,easy,Hey <USER> I can't reset my password!,,login_or_account_access,True,Account access issues require human verification to prevent unauthorized account takeover.
g_570515,easy,"<USER> @spotifycares hello when I play 'Waking up in Vegas' directly from 'One of the Boys' (album by Katy Perry) it plays the MTV unplugged version instead of the album version. Could you fix this issue, please? Thanks",,content_availability_or_licensing,True,User reports a specific catalog error requiring backend content correction.
g_2879062,easy,<USER> måste jag dela familjepremium via email?? Mina barn har ju inte Mail... mvh Micke,,how_to_or_usage_question,True,"Customer lacks email access for children, requiring manual account setup assistance."
g_2896,easy,<USER> how? 9 pesos?,,billing_or_subscription_charge,True,"The user is questioning a specific, unusually low charge, requiring human verification of the transaction."
g_462644,easy,@spotifycares um.. Help? <URL>,,other,True,"The vague ""Help?"" request with an external link requires human investigation to determine the specific issue."
g_2910932,hard,@spotifycares Well it works now... Nothing was loading this morning! Using an iPhone!,"<USER> Hey there! What's happening exactly? Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",playback_or_app_bug,False,"User confirmed the issue resolved itself, requiring no further action."
g_2913900,easy,@spotifycares Looks great. Thanks! I just wanted some Sufjan 😭,<USER> Hey! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /CP,not_a_support_request,True,"Customer expressed dissatisfaction with music recommendations, requiring human intervention."
g_573211,easy,"<USER> @spotifycares pleaseeeeeeee, please put a way to sort through your music in playlists.. like newest to oldest, oldest to newest.. #LoveYou",,feature_request_or_product_feedback,True,"User is requesting a new feature, not reporting a technical issue."
g_83719,easy,<USER> How?,,not_a_support_request,True,"The vague question lacks context, requiring a human to identify the specific issue."
g_598537,hard,@spotifycares hi I bought family premium. I have Spotify on my phone but my son's play store says it's not available in his country yet we live in the same house let alone country,,content_availability_or_licensing,True,Regional availability mismatch requires human intervention to resolve account access.
g_123492,easy,@spotifycares So are you not able to request songs that don't contain explicit content for children. I want my son to listen to the album but I can't when it has explicit content.,"<USER> Got it. Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: <URL> Hope this clears things up, and let us know if we can help you with anything else /NY",feature_request_or_product_feedback,True,Customer is requesting a feature change to allow explicit content for children.
g_353176,easy,<USER> How?,,not_a_support_request,True,"The vague question lacks context, requiring a human to identify the specific issue."
g_2815050,easy,@spotifycares help,,not_a_support_request,True,"The message is too vague to resolve automatically, requiring human context."
g_147384,easy,"@spotifycares yes, that's correct but in this particular album <URL> appears misspeled band name <URL>","<USER> Hi Vladimir, thanks for reaching out! Is this: <URL> the artist you're looking for? /GT",content_availability_or_licensing,True,User reports a specific metadata error requiring manual correction.
g_452076,hard,<USER> has Spotify crashed? All my albums have randomly gone for no reason.,,playback_or_app_bug,True,User reports a critical service outage affecting their entire library.
g_129754,easy,I need reputation already y'all <USER>,,not_a_support_request,True,"The message is incoherent and lacks specific account details, preventing automated triage."
g_93894,hard,<USER> you piece of shit y’all deleted all of my saved songs,,content_availability_or_licensing,True,Customer used severe profanity and reported critical data loss requiring human intervention.
g_446909,easy,"@spotifycares I've reset my password 3 different times today due to it being ""incorrect"", and yet, Spotify won't let me log in. I can't reset my password due to CSRF token being invalid now. What gives?",,login_or_account_access,True,Repeated login failures and a new CSRF error indicate a technical account lockout.
g_2954685,easy,<USER> <USER> @spotifycares <USER> HI PLEASE ADD JACKSON WANG'S NEW SONG TO A PLAYLIST THANK YOU <URL> #JacksonWangOKAY,,content_availability_or_licensing,True,"User requests adding a specific song to a playlist, which requires human intervention."
g_2828374,easy,@spotifycares __email__ I was availing the current promo of Php9 for 3 months but I was charged Php129 instead.,<USER> Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA <URL>,billing_or_subscription_charge,True,"Customer reports incorrect billing amount, requiring human intervention to resolve the charge discrepancy."
g_2872002,easy,<USER> where’s the REPUTATION ALBUM????? LMK <USER>,,content_availability_or_licensing,True,"Customer is demanding a specific album release with aggressive tone, requiring human intervention."
g_567975,hard,@spotifycares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,,playback_or_app_bug,False,Clear technical issue description allows for automated troubleshooting without human intervention.
g_115345,easy,"@spotifycares Thanks a lot, I'll compile the form now c:","<USER> Hey! You can contact our Artist team here: <URL> If you've reached out, DM us your email address &amp; we'll chase it up /DF",not_a_support_request,False,The tweet is a polite acknowledgment with no new issue or request requiring intervention.
g_1666504,hard,"@spotifycares Hi, I'd like to subscribe Spotify Premium using Digi billing (Malaysia). But it's not in the payment option. May I know why?",,billing_or_subscription_charge,True,Payment method availability issue requires human verification of regional billing options.
g_93909,easy,<USER> How,,not_a_support_request,True,"The message is an incomplete fragment, making it impossible to determine the user's actual intent or issue."
g_632024,easy,@spotifycares <USER> Hi! Actually I found the Canadian account already. Thanks for proposing me your help though 😊 it's appreciated,"<USER> <USER> Hey Machi! If there's anything we can help you with, just give us a shout 🙂 /L",not_a_support_request,False,Customer resolved the issue independently and explicitly declined further assistance.
g_2862724,easy,@spotifycares Already tried with no success,<USER> Hey there! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,not_a_support_request,True,"Customer reports previous troubleshooting attempts failed, requiring human intervention."
g_2929822,easy,<USER> help,,not_a_support_request,True,"The message is too vague to resolve automatically, requiring human context to identify the issue."
g_44363,easy,<USER> how?,,not_a_support_request,True,"The vague question lacks context, requiring a human to identify the specific issue."
g_115221,easy,@spotifycares Thanks JK. It's saying incorrect username and password. I've not changed my password at all though. I can only assume my account has been compromised in some way?,"<USER> Hey Lewis, that's not cool! We checked backstage and found a Premium account with the username ""lewishowe"". Can you try logging in with that username here: <URL> You may want to try using an incognito window. Let us know how it goes /JK",login_or_account_access,True,"User suspects account compromise due to login errors, requiring human security review."
g_2427732,easy,@spotifycares no it works fine on my MacBook Air and on iPhone,<USER> That's odd. Is this also happening on a different device? Keep us in the loop /NY,not_a_support_request,True,"Customer claims the issue is resolved, requiring human verification before closing the ticket."
g_106307,easy,"@spotifycares Windows 10, Google Chrome.","<USER> Hi Candace, help's here! Can you let us know your desktop's operating system version and the browser you're using? We'll see what we can suggest /DV",not_a_support_request,True,"The message lacks a specific issue description, making it impossible to route automatically."
g_137181,easy,<USER> Where’s the deals for existing customers?,,billing_or_subscription_charge,True,"User is asking for specific promotional offers, which requires human verification."
g_2913963,hard,Me at work since <USER> crashed. <URL>,,not_a_support_request,True,"The tweet contains a vague, potentially offensive complaint that requires human context to interpret."
g_2861213,easy,<USER> Can someone provide me with a contact number to call for help?,,how_to_or_usage_question,True,"Customer explicitly requested a phone number, requiring human intervention."
g_548700,easy,"@spotifycares I got charged for premium, but I never purchased it",,billing_or_subscription_charge,True,Unexplained billing charge requires human review to verify account activity and process a refund.
g_567973,easy,@spotifycares iPhone 7 Plus on iOS 11.2,"<USER> Hey Chris! The cavalry's here. Can you let us know the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB",not_a_support_request,True,"The message lacks a specific issue description, requiring human clarification to route correctly."
g_568906,hard,@spotifycares Xiaomi redmi note 3. I'm running Android 6.0.1 and I'm using Spotify 8.4.30.688.,"<USER> Hey! The cavalry's here. Can you fire over the device's make/model, operating system, and the Spotify version you're using? We'll see what we can suggest /JS",device_or_platform_compatibility,True,User reported a specific app version crash on an older Android device.
g_2914430,hard,"@spotifycares Both data and wifi having issues, it's an iPhone 5s running the latest iOS and Spotify was just updated a week or two ago","<USER> Got it! Is this happening on 3G/4G, WiFi, or both? Could you fire over the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB",device_or_platform_compatibility,False,"User provided specific device, OS, and app version details for immediate troubleshooting."
g_2815952,easy,@spotifycares <USER> HELP ME,"<USER> Hey! We’d love to have all of their stuff available, but we have some info about content here: <URL> /NQ",not_a_support_request,True,The message contains an explicit request for human assistance.
g_2861267,easy,@spotifycares i recently got charged 3 times when i only agreed for 1 payment,,billing_or_subscription_charge,True,Multiple unauthorized charges require human review to process refunds.
g_2869,easy,"@spotifycares why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album <URL>",,content_availability_or_licensing,True,"User reports a specific album is unplayable, requiring technical investigation."
g_562444,easy,@spotifycares I am upset that I was looking at the Student offer 4.99 with tax for 12 months. I canceled it and I was still charged for a payment I didn't authorized,,billing_or_subscription_charge,True,Unauthorized charge and billing dispute require human intervention.
g_2957861,easy,@spotifycares stop canceling my student discount without notifying me jesus christ!!!,,billing_or_subscription_charge,True,Customer is highly distressed and demanding immediate human intervention for billing issues.
g_129253,easy,@spotifycares The album dates in album view are broken <URL>,,playback_or_app_bug,True,"User reports a specific UI bug with album dates, requiring technical investigation."
g_482459,easy,@spotifycares The spotify app keeps crashing on launch on my oneplus 5??,,playback_or_app_bug,False,Simple app crash report with no sensitive data or complex context.
g_2871138,easy,@spotifycares So.. the album Regional at Best from Twenty One Pilots are not available. How to get this album in spotify? <URL>,"<USER> Hey! We can help out in English via Twitter, but we also have Indonesian support via email at <URL> /JS",content_availability_or_licensing,False,The query is a simple availability question with no complex account issues.
g_2818845,easy,@spotifycares Kelly Jones has not released any collaborations soloon Spotify. Also the Kelly Jones you are referring to is a girl if you listen to those songs <USER> <USER> <USER> please inform them these songs are not Kelly from stereophonics <URL>,<USER> We understand where you're coming from. We checked all the songs currently under this artist and confirmed that they are his. Some of them he's done in collaboration with other artists. Hope this clears things up /JP,content_availability_or_licensing,True,User is correcting a factual error regarding artist identity and song attribution.
g_95807,easy,@spotifycares Aight no doubt thanks,"<USER> We don't have any info on this right now, but we’ll have it available to you as soon as it’s available to us! /RB",not_a_support_request,True,The message is a polite acknowledgment with no actionable request or issue to resolve.
g_497712,easy,@spotifycares this is a joke someone contact me !,,other,True,"Customer explicitly asked to be contacted, which is an actionable request requiring human escalation."
g_2844584,easy,@spotifycares I'm on my cellphone..but it works fine on my laptop.,"<USER> Hi, help's here! Can you let us know what device, operating system, and Spotify version you're using? We'll take a look under the hood /XF",device_or_platform_compatibility,True,Customer reports a device-specific issue requiring manual troubleshooting beyond automated scripts.
g_130880,easy,<USER> needs a “deleted” page,,feature_request_or_product_feedback,True,Requesting a deleted page is a non-standard action requiring human verification.
g_637710,easy,@spotifycares Login information was changed without my permission. I'm locked out now. Please help!,,login_or_account_access,True,Account security breach requiring immediate human intervention to restore access.
g_2865490,easy,Why does my discover weekly update on Monday’s on desktop but not on my phone <USER> ?????? 😩😩😩,,device_or_platform_compatibility,False,"The issue is a known platform-specific sync delay, not a critical bug requiring human intervention."
g_993088,easy,"@spotifycares Hiya, the Android app seems to glitch yet again after the latest update. All of my saved songs gone. Having to re-download 20 GB worth of music every time there's an update is no fun. Hope it gets resolved soon!",,playback_or_app_bug,True,User reports data loss of saved songs following an app update.
g_563498,easy,"<USER> If I opt for paying $99 for a year, does the Cap1 offer still apply? <URL>",,billing_or_subscription_charge,True,Customer is asking a specific billing question that requires human verification.
g_2917923,easy,@spotifycares No more issues here thanks,<USER> Hey Claus! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR,not_a_support_request,False,"Customer confirms issue is resolved, requiring no further action."
g_703171,easy,How? <USER> <URL>,,not_a_support_request,True,"The message is too vague to resolve automatically, requiring human context to identify the issue."
g_86369,easy,<USER> I need more skips,,feature_request_or_product_feedback,False,The request for more skips can be answered with a generic explanation of skip limits and upgrade options; it does not require manual account access.
g_672183,easy,@spotifycares I've just sent a reply if you could check thanks,<USER> Thanks! We've replied to your DM with a little more info /K,not_a_support_request,True,Customer explicitly requests human review of their previous reply.
g_2825211,hard,"@spotifycares Next tine it happens I'll go the router route 😎 Last year in the 2nd week of December, I received an email listing my Spotify listening statistics. (59,900 minutes) it was fascinating. Will that happen again this year? Thanks guys","<USER> Thanks for the info. Just to check, are you using a shared/public or private WiFi connection? If you're at home, can you restart your router? Let us know how everything plays out /WP",how_to_or_usage_question,False,"User is asking a general question about annual stats, not reporting a technical issue."
g_108057,easy,@spotifycares Issue persists on mobile… iPhone 7+ running iOS 11.1.2. <URL>,<USER> Gotcha. Can you try using a different device? Let us know if the issue persists /LM,playback_or_app_bug,True,Persistent mobile issue on specific iOS version requires human troubleshooting.
g_554127,hard,@spotifycares Panic over. Removed &amp; reinstalled app. All sorted. 😅,,not_a_support_request,False,"Customer confirmed the issue is resolved, requiring no further action."
g_2916542,easy,"@spotifycares Can't connect my Facebook account to my Spotify account, and my account name is my profile is gibberish. plz help?",,login_or_account_access,True,Account linking failure combined with corrupted profile data requires manual intervention.
g_86373,easy,humankind needs lyrics on <USER>,,feature_request_or_product_feedback,True,"The message contains a vague, non-actionable request that requires human interpretation to identify the specific issue."
g_2822730,easy,"@spotifycares win 7 ultimate 64 bits. spotify 1.0.68.407.g6864aaaf. and not, logging or rebooting doesn't work, because every time it updates, it reinstates the boot with windows option. i've even killed the windows startup process, but it's there every time it updates again and again",<USER> Hey there. What Windows and Spotify versions are you on? Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,playback_or_app_bug,True,User reports a persistent technical bug where updates repeatedly reinstate a Windows boot option.
g_2909845,easy,@spotifycares ow nice. thank u for the reply!,"<USER> Hey there! The offer will run until the 31st of December. Any questions, give us a shout /PB",not_a_support_request,False,The tweet is a polite acknowledgment with no unresolved issue or request.
g_2164330,easy,@spotifycares Currently on samsung SM-N9005 aka note 3 on 4.4,<USER> Hey Ray! Can you also let us know the make and model of your device and the operating system? We'll see what we can suggest /MS,not_a_support_request,True,"Customer provided specific device details, indicating a technical issue requiring human troubleshooting."
g_2784966,hard,@spotifycares how do I get onto an account that has premium but I have no access to? Or cancel it?,,login_or_account_access,True,Account access and cancellation requests require human verification to prevent fraud.
g_21370,easy,@spotifycares Hi please see my DM :),,not_a_support_request,True,"The user directs the issue to DMs, preventing automated triage of the actual problem."
g_2963358,easy,<USER> Every. Day. <URL>,,not_a_support_request,True,"The message is too vague to diagnose, requiring a human to investigate the linked content."
g_152217,easy,<USER> Kan ni inte ge oss trogna Spotifypremium kunder sen 10 år - en gratis premiumperiod..? 🙏😏,,feature_request_or_product_feedback,True,"Customer is requesting a free premium extension, which requires human approval."
g_666352,easy,@spotifycares thanks so much! ☺,<USER> That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /CH,not_a_support_request,False,The tweet is a simple thank-you with no issue requiring human intervention.
g_568949,easy,"@spotifycares Every time I receive a snapchat while playing through Bluetooth, the music pauses. iPhone 6s, Spotify version 8.4.28","<USER> Hey there! What's happening exactly? Can you let us your device's model, and Spotify version? We'll see what we can suggest /AP",playback_or_app_bug,False,Known Bluetooth interruption bug on iPhone 6s with no account-specific action required.
g_2909831,hard,"<USER> Besides being passionate about music, what should I study to work for Spotify? I'm willing to study anything",,not_a_support_request,False,"The query is a general career inquiry, not a technical support issue requiring human intervention."
g_2941501,easy,"@spotifycares <USER> <USER> Hi, I have paid for premium thru Cebuana Lhuilier today, 11/29/17 at 15:58:39, but it still shows that my payment didn't work. The Payment reference is HG8M3YA1 <URL>",,billing_or_subscription_charge,True,Payment failure with a specific reference number requires human verification.
g_2928697,medium,"Hey <USER>, fix your app please.",,playback_or_app_bug,True,Vague complaint lacks specific error details needed for automated triage.
g_2835010,easy,. <USER> needs to add more <USER> songs,,feature_request_or_product_feedback,True,The message is incoherent and lacks specific account details needed for resolution.
g_2736068,easy,@spotifycares Thanks very much. 🙌,"<USER> No worries, we can definitely help with that. Can you DM us your account's email address and username? We'll get the ball rolling once we've got that info /TX <URL>",not_a_support_request,False,The tweet is a simple thank-you with no issue requiring human intervention.
g_2844595,hard,"@spotifycares My email won't update on Spotify, and I submitted a support ticket via the Contact Us form, but it said you'll email me back to my old email that I can't access. Can I email __email__ directly?",,login_or_account_access,True,Customer is locked out of their account and cannot receive the required support response.
g_2866598,hard,@spotifycares hey I’m using the free trial right now because I’m considering subscribing. The suscription says that we can play music offline. Does this feature not work with the free trial or at all?,,how_to_or_usage_question,False,Clear factual question about trial features requiring no human judgment.
g_2820823,hard,"@spotifycares No, 5GB of my Internet Bundle 😡","<USER> Thanks for the info. Just to confirm, has the app consumed 5GB of storage on your device? /NS",not_a_support_request,True,"Customer is disputing a specific data allowance deduction, requiring manual account review."
g_447885,easy,<USER> hi Im having trouble accepting the 99p for three months offer. I have been in a months trial offer and got an email offering three months for 99p. I have tried signing up to it using PayPal three times but it still says my account is the free one. Please help.,,billing_or_subscription_charge,True,"Payment failed three times, requiring human intervention to resolve the billing issue."
g_588873,easy,@spotifycares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,,feature_request_or_product_feedback,True,Account hacked today requires immediate human intervention for security.
g_2825205,easy,<USER> help me,,not_a_support_request,True,"The message is too vague to resolve automatically, requiring human context to identify the issue."
g_2919291,hard,<USER> fix ur app!!!,,playback_or_app_bug,True,"The message is too vague to diagnose, requiring a human to clarify the specific issue."
g_668723,hard,"@spotifycares Mohon bantuan, pada tanggal 21 Nov 17 saya mendapatkan email promo dr Spotify berupa 3 bulan Rp 4.990 dg pembayaran CC tetapi ketika melakukan pembayaran tarif yg dikenakan Rp 49.990",,billing_or_subscription_charge,True,Customer reports a billing discrepancy where the charged amount was ten times the advertised promo price.
g_674468,hard,@spotifycares 😎👌🏾,"<USER> We hear you loud and clear, Aaron! We can’t make any promises, but we’ll pass this onto the right folks /TC",not_a_support_request,True,"The message contains no actionable request or issue, making human escalation unnecessary."
g_2965852,easy,@spotifycares Once I bought it the app kept skipping through songs and not playing anything but it stops and plays 7 commercials in a row and the skips through every song again.,"<USER> Hey, help's here! Can you tell us what's happening exactly? We'll lend a hand /RH",playback_or_app_bug,True,"User reports severe playback failure with excessive ads, requiring human intervention."
g_2968468,easy,<USER> i am still having the free account even though i already paid for 3 months subscription!!!!!!,,billing_or_subscription_charge,True,Customer reports a billing discrepancy where a paid subscription is not active.
g_1532719,easy,.<USER> Can there be a way to view songs by record label? Trying to listen to all the <USER> tunes.,,feature_request_or_product_feedback,False,"Request is a feature suggestion, not a technical issue requiring human intervention."
g_2928695,easy,@spotifycares help me !! 😭,,not_a_support_request,True,"The message contains explicit distress signals and a direct plea for assistance, requiring human intervention."
