item_id,customer_text,reply_draft,groundedness,resolution_helpfulness,brand_voice,safety
g_2820157_simple,"In middle school, I would rush home to catch the last 30 minutes of Rebelde. It’s 2017 and <USER> doesn’t have #RBD’s discography yet... I need to jam in my car instead of loading Youtube videos","<USER> Hi there. Don't worry, help's here. Can you let us know what device, operating system, and exact app version you're using? /JU",,,,
g_77685_simple,"@spotifycares Trying to log into Spotify app via Facebook app on iPhone 6s, but get Facebook message ""Login Error: There is an error logging you into this application. Please try again later.""",<USER> Hi Matt! Can you fire over your account's email address via DM? We'll check it out and see what we can do for you /NY <URL>,,,,
g_1778480_simple,HELP :---( <USER> @spotifycares <URL>,"<USER> Hey Arron, help's here! How long has this been happening? Can you try restarting the app, then logging back in? Let us know how it goes /SJ",,,,
g_2879062_simple,<USER> måste jag dela familjepremium via email?? Mina barn har ju inte Mail... mvh Micke,"<USER> Hey there! We can help out in English via Twitter, but we also have Swedish support via email at <URL> /LS",,,,
g_2943783,"@spotifycares iPhone 6s, iOS 11.1, and just updated to the newest Spotify. Still crashing","Sorry to hear the app is crashing on your iPhone 6s. Please try restarting the phone (hold Home + Power for about 10 seconds), then log out of Spotify, restart the device again, and log back in. Also let us know the exact Spotify app version you’re on and any error messages you see. We’ll keep an eye on this and help you get it resolved.",,,,
g_462644,@spotifycares um.. Help? <URL>,Hey! We’re here to help. Could you let us know more about what’s happening and share your account email/username via DM? That’ll let us look into it right away.,,,,
g_66022,@spotifycares I hear you'll launch in Romania soon ? Did i hear right or no ?,"Hey! We’re constantly expanding and launching in new countries around the world. At this time we don’t have a specific launch date for Romania, but you can stay updated by signing up for news on our website. Thanks for your interest!",,,,
g_44310,<USER> How????,"Hi there! We’d love to help, but we need a bit more information to understand your question. Could you let us know what you’re trying to do or what issue you’re experiencing?",,,,
g_462676_simple,Hey <USER> I can't reset my password!,<USER> Hi there. Can you DM us your account's email address? We'll see what we can suggest /LM <URL>,,,,
g_2913900_simple,@spotifycares Looks great. Thanks! I just wanted some Sufjan 😭,<USER> You're welcome! Let us know if you ever need us again. We'd be... <URL> /PB,,,,
g_570515,"<USER> @spotifycares hello when I play 'Waking up in Vegas' directly from 'One of the Boys' (album by Katy Perry) it plays the MTV unplugged version instead of the album version. Could you fix this issue, please? Thanks","Hey! Sorry you’re hearing the MTV Unplugged version instead of the album cut. Could you DM us the device you’re using, its operating system and the Spotify app version, plus a screenshot of what you see? That’ll help us investigate and we’ll pass your feedback on to the team. Thanks for letting us know!",,,,
g_171118_simple,@spotifycares can't play any music in album page on Windows 7 64-bit version 1.0.68.407.g6864aaaf. all other music plays fine. attached image to show what it looks like when i try to play a song from album page. if i play the exact same album in my files it works fine. <URL>,"<USER> We're sorry to hear that. Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /MG",,,,
g_573211_simple,"<USER> @spotifycares pleaseeeeeeee, please put a way to sort through your music in playlists.. like newest to oldest, oldest to newest.. #LoveYou",<USER> Thanks! Can you try clearing your browser's cache/cookies? Let us know if clicking a Spotify link asks you to open the app after that /QI,,,,
g_671400,@spotifycares <USER> Hey you guys keep saying that every time people complain about pre-existing customers not getting any deals. Yet y’all still haven’t come out with any deals to thank your long term costumers,"Hey there! We hear you—thanks for being a long‑time listener. At the moment we don’t have any special Premium deals available, but you can always check our current trials and discount offers here: <URL>. We’ll let you know as soon as new promotions roll out!",,,,
g_2848332,Stop airing my dm @spotifycares,"We’re sorry for any confusion – we never share your DMs publicly. Let’s continue the conversation privately. Please check your Spotify inbox for our direct message, or send us a new DM by tapping the envelope icon below. We’ll help you there.",,,,
g_2312931_simple,@spotifycares help <URL>,"<USER> Hey Arron, help's here! How long has this been happening? Can you try restarting the app, then logging back in? Let us know how it goes /SJ",,,,
g_2820157,"In middle school, I would rush home to catch the last 30 minutes of Rebelde. It’s 2017 and <USER> doesn’t have #RBD’s discography yet... I need to jam in my car instead of loading Youtube videos","Hey! Sorry to hear RBD’s discography isn’t showing up for you. Some tracks get removed temporarily due to licensing changes, and we hope they’ll be back soon. Keep an eye on the artist page, and you can also suggest the addition in our Community where other fans can weigh in. Let us know if you have any other questions!",,,,
g_123472_simple,"Hey <USER>, can I block certain artists? I don't want to listen to artists who are continuously violent to women.","<USER> Hey! This isn't possible right now, but you can show your support for the idea in our Community: <URL> /CP",,,,
g_2931614_simple,"@spotifycares Please get this fixed ASAP... the real Logic deserves credit, thank you for responding. ✌🏻",<USER> Hey Patience! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR <URL>,,,,
g_130395,"<USER> admin, 4.990 itu bayarnya via apa ya kalau nggak punya credit card?","Hi! If you don’t have a credit card, our Indonesian support team can help you with alternative payment options. Please email us at <URL> and we’ll guide you through the available methods.",,,,
g_633980_simple,<USER> I’m paying for a premium account but cannot log in how can I cancel payments,<USER> Hi there! Can you send us your email address or username via DM? We'll look under the hood /HC <URL>,,,,
g_141188,nasan na yung #reputation album ha 😒 <USER>,"Hi! We understand you’re looking for the #reputation album. It isn’t on Spotify yet, but we’re working on adding it. We’ll make it available as soon as we receive the rights. Keep an eye on the artist’s page, and we’ll let you know when it’s live. Thanks for your patience!",,,,
g_2879062,<USER> måste jag dela familjepremium via email?? Mina barn har ju inte Mail... mvh Micke,Hej Micke! Vi kan hjälpa dig med hur du delar Familjepremium när barnen inte har e‑post. Kontakta vår svenska support via e‑post på <URL> så får du detaljerade instruktioner och alternativ för att lägga till dem i ditt familje‑konto.,,,,
g_44312_simple,<USER> How?,"<USER> Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: <URL> /KL",,,,
g_1593811,<USER> why only 3333 song limit? Real shame. Thought if was bad enough its so much trouble to transfer your own music not in Spotify's library. Now i cant even download it lol what am i paying $10/mo for then,"Hey there! The 3,333‑track limit is a licensing restriction that we can’t change. We’d love to have all of your music available, but we have some info about content here: <URL>. In the meantime, if you’re hitting the limit you can organize your library by adding tracks to playlists: <URL>. Let us know if you need any help with that!",,,,
g_77685,"@spotifycares Trying to log into Spotify app via Facebook app on iPhone 6s, but get Facebook message ""Login Error: There is an error logging you into this application. Please try again later.""",Hi! Sorry you’re seeing that Facebook login error. Could you please DM us your Spotify account email address (and a screenshot of the error if possible) so we can investigate and get you back in?,,,,
g_2834,<USER> How?,Thanks for getting in touch. A support specialist will review this.,,,,
g_2898308_simple,@spotifycares what's the presale code for Billie Eilish tomorrow?,<USER> Hey! We've just replied to your DM. Check your inbox /RH,,,,
g_138289,@spotifycares hey why is that you have your ad to upgrade to Spotify Premium translated into Vietnamese but don't accept Vietnamese cards for payment? <URL>,"Hey! We understand the frustration. To check why Vietnamese cards aren’t showing as a payment option for you, could you please DM us your account’s email address or username? We’ll look into the regional payment methods available for your account and get back to you.",,,,
g_44361_simple,<USER> How?,"<USER> Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: <URL> /KL",,,,
g_2831200_simple,<USER> btw idk why this quality looks like ass.,<USER> Hmm. Can you send us a link to this playlist? Just tap the three dots &gt; Share &gt; Copy Playlist Link. We'll check it out /CH,,,,
g_2854399,"@spotifycares No worries, you're awesome really","Thank you so much for the kind words! We're thrilled to hear you’re happy with us. If you ever need anything, just give us a shout – we’re always here to help 😊",,,,
g_555468,@spotifycares how can i see my spotify statistics?,"Thanks for reaching out! We don’t currently have a built‑in way to view detailed listening stats, but we’ll pass your request along to the product team so they can consider adding it in the future. Stay tuned for updates!",,,,
g_510521,@spotifycares please answer my DM,Hey there! We’ve just replied to your DM. Please check your messages and let us know if you need anything else. 🙂,,,,
g_671400_simple,@spotifycares <USER> Hey you guys keep saying that every time people complain about pre-existing customers not getting any deals. Yet y’all still haven’t come out with any deals to thank your long term costumers,"<USER> Hey! We don't have any Premium offers right now, but you can find our current trials and discount deals here: <URL> /KB",,,,
g_2913900,@spotifycares Looks great. Thanks! I just wanted some Sufjan 😭,"Glad you’re enjoying Spotify! If you’re looking for Sufjan Stevens or any specific tracks, just let us know and we’ll help you find them. 🎧",,,,
g_2520080,<USER> there's just one album from legendary Karate <URL> WHY?,"Hey there! Could you share the artist’s Spotify URI with us? You can right‑click the artist name → Share → URI. Once we have that, we’ll be able to look into why only that one album is showing up. Thanks for your patience!",,,,
g_580943,<USER> how long does it take to get a response? I need help!,"Hey! We aim to get back to you as quickly as possible. To help us look into your issue faster, could you DM us your account email address? We'll check under the hood and get back to you there.",,,,
g_456843,@spotifycares when are you all going to update the Fresh Finds: Basement playlist. it's two days late :(,"Hey! Thanks for reaching out. We understand you’re looking forward to the Fresh Finds: Basement playlist update. We’ve given a nudge to our Curation team and will pass along your feedback. We don’t have a specific timeline right now, but we’ll keep working on getting it out as soon as possible. Let us know if there’s anything else we can help with!",,,,
g_453468_simple,"@spotifycares why cant i listen to that song? It says ""this song is not available in finland"" why???? <URL>",<USER> That's not cool! Can you send us the album's URI? Just right-click the album &gt; Share &gt; URI. We'll have a look /LO,,,,
g_456843_simple,@spotifycares when are you all going to update the Fresh Finds: Basement playlist. it's two days late :(,"<USER> Hi! Don't worry, we've given a nudge to our Curation team about this. If there's anything else we can help with, just let us know /RC",,,,
g_510521_simple,@spotifycares please answer my DM,<USER> Hi Becky! We've just replied to your DM /CX,,,,
g_66022_simple,@spotifycares I hear you'll launch in Romania soon ? Did i hear right or no ?,<USER> No worries. <URL> /GK,,,,
g_2919417,@spotifycares Nope thanks so much!,"You're welcome! If you need anything else, just let us know. 🎶",,,,
g_555468_simple,@spotifycares how can i see my spotify statistics?,"<USER> 1: We understand you'd like to see this feature, and we'll let the right team know it's something you'd like to see.",,,,
g_2854399_simple,"@spotifycares No worries, you're awesome really",<USER> One for your Swedish lessons: Tack så mycket Nicholas. Välkmmen till Spotify! <URL>,,,,
g_141188_simple,nasan na yung #reputation album ha 😒 <USER>,<USER> 1: Hi Patrick! Sorry to hear about this. All purchases made using your Globe load has an additional 12% VAT. /PL,,,,
g_2865505_simple,Dear .<USER> STOP DELETING MY DAILY MIXES!,<USER> Hey there. We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /LS,,,,
g_2699557_simple,"@spotifycares Hi,I was trying to activate the premium pack for 0.99€ and I got charged 5 times.","<USER> Hey there, help's here! Can you DM us your account's email address? We'll check backstage /MO <URL>",,,,
g_2933212,"@spotifycares Im in Dubai right now, but my Apple ID is american,,, and yes i'm trying to create a spotify account ,","Hey! Thanks for reaching out. To get your new Spotify account set up, we’ll need a bit more info. Could you DM us the email address (or Apple ID) you’d like to use and confirm the country you’re currently in? Once we have that, we can check the best way to link your American Apple ID while you’re in Dubai and get you listening right away. Looking forward to your DM!",,,,
g_629903_simple,<USER> hi why is your support team constantly ignoring my emails?,"<USER> Don't worry, we can check on this for you. Can you DM us your account's email address or username? /KM <URL>",,,,
g_1778460_simple,@spotifycares <USER> help,"<USER> Hi, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV <URL>",,,,
g_44312,<USER> How?,Thanks for getting in touch. A support specialist will review this.,,,,
g_166676_simple,@spotifycares I can’t create acct with my email. Says email is taken. Then says I’ve logged in with Facebook cred. Deleted app from FB. Still says my email taken.,"<USER> Thanks. For your security, we'd recommend deleting your previous tweet. Can you DM us instead, let continue talking there 🙂 /JI <URL>",,,,
g_500996,"<USER> hallo mau nanya, apa ada persyaratan lain utk dapetincpromo ini? Aku terakhir stop subscription 27 Juni 2017 <URL>","Hey! We can help out in English via Twitter, but we also have Indonesian support via email at <URL> 🙂",,,,
g_2882300,"I'm paying for a Spotify family premium every month, but both my wife's and my account are suddenly listed as free, and we can't access premium features. My account name is sadist3n. I expect a quick resolution + free month, or I'm migrating to Apple.@spotifycares.","Hi there, sorry to hear your Family Premium plan isn’t showing up. Could you please DM us your account’s email address or username so we can investigate this on our end? We’ll work to get your premium access restored as quickly as possible.",,,,
g_2831200,<USER> btw idk why this quality looks like ass.,"Hey there! Sorry you’re experiencing low quality audio. Could you DM us your Spotify username or email so we can look into your account? Also, please share the playlist link (tap the three dots → Share → Copy Playlist Link) and let us know the device you’re using, its OS version, and the Spotify app version. With that info we’ll be able to investigate the issue and get things sounding right again.",,,,
g_700427_simple,@spotifycares You said last Christmas. Nothing materialised,"<USER> Got it. Just to check, is this the only playlist/album you can't download? /KM",,,,
g_83719_simple,<USER> How?,"<USER> Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: <URL> /KL",,,,
g_462676,Hey <USER> I can't reset my password!,"Hey <USER>, sorry you're having trouble resetting your password. Please DM us your Spotify account email address (and username if you have it) so we can look into it and help you get back in.",,,,
g_2910958,"<USER> I challenge you to try to purchase an online gift card for a full year of Spotify Premium and really test out your customer experience, it shouldn't be this hard to give you my money! #notelephonesupport","Hi! We’d love to help you get a gift‑card for a year of Premium. To make sure we’re looking at the right account, could you please DM us your account email or username? In the meantime, you can purchase Premium (or a gift‑card) directly in the app: go to Your Library → tap the gear icon (top right) → Get Premium and follow the prompts. Let us know if you run into any issues!",,,,
g_130898_simple,<USER> How much will it cost after the 3 month trial @$0.99CAD??,"<USER> Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: <URL> /KL",,,,
g_2705876_simple,@spotifycares I thought this was taken care of but it is not. Please reply.,"<USER> Hey there, we're here to help! Did the app crash at any point during the 30 minutes? That could cause the ad-free time to reset /TB",,,,
g_660571,<USER> help me,"Hey there! We’re here to help. Could you let us know what’s happening exactly? If it’s account‑related, please DM us your email address or username so we can look into it for you.",,,,
g_2910932,@spotifycares Well it works now... Nothing was loading this morning! Using an iPhone!,"Glad to hear it’s working again! If you ever see loading issues on your iPhone again, try logging out of Spotify, restarting the device, and then logging back in. Feel free to DM us if the problem returns. 🎧",,,,
g_485507,@spotifycares I can't log into my account and password reset tokens are broken. Help! Username: 99CENTSPECIAL,Hey! Sorry you’re having trouble logging in and that the password‑reset token isn’t working. Could you please DM us the email address (or username) linked to your account? We’ll take a look backstage and get this sorted for you.,,,,
g_580943_simple,<USER> how long does it take to get a response? I need help!,"<USER> Hey, sorry for the delay. Can you fire over your account's email address via DM? We'll check under the hood and see what we can suggest /NY <URL>",,,,
